[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]
[0, 0, 15, 15, 15, 15, 15, 15, 15, 15, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18]
[0, 0, 15, 15, 15, 15, 15, 21, 21, 21, 21, 21, 21, 21, 21, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24]
[0, 0, 15, 15, 15, 24, 24, 24, 24, 24, 30, 30, 30, 30, 30, 30, 30, 30, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33]
[0, 0, 15, 15, 18, 24, 24, 27, 27, 27, 30, 30, 33, 33, 33, 33, 33, 33, 33, 33, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]
[0, 0, 15, 15, 18, 29, 29, 44, 44, 47, 53, 53, 56, 56, 56, 59, 59, 62, 62, 62, 62, 62, 62, 62, 62, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65]
[0, 0, 15, 15, 18, 29, 29, 44, 44, 47, 53, 53, 56, 56, 56, 59, 59, 62, 62, 62, 62, 62, 62, 62, 64, 65, 65, 65, 65, 65, 65, 65, 67, 67, 67, 67, 67, 67, 67]
[0, 0, 15, 15, 18, 29, 29, 44, 44, 47, 53, 53, 56, 56, 56, 59, 59, 62, 62, 62, 62, 63, 63, 66, 66, 66, 66, 66, 66, 66, 68, 69, 69, 69, 69, 69, 69, 69, 71]
[0, 0, 15, 15, 27, 29, 30, 44, 44, 56, 56, 59, 65, 65, 68, 68, 68, 71, 71, 74, 74, 74, 74, 75, 75, 78, 78, 78, 78, 78, 78, 78, 80, 81, 81, 81, 81, 81, 81]
